更新时间,#genre#
20260513 23:35:44,url


freetv,#genre#
CCTV1,https://t.freetv.fun/live/cctv-1-2.m3u8$[BD]cctv-1
CCTV11,https://t.freetv.fun/live/cctv-11xi-qu-2.m3u8$[BD]cctv-11戏曲
CCTV11,https://t.freetv.fun/live/cctv-11xi-qu.m3u8$[BD]cctv-11戏曲
CCTV11,https://t.freetv.fun/live/cctv11-xi-qu-3.m3u8$[BD]cctv11-戏曲
CCTV12,https://t.freetv.fun/live/cctv12-she-hui-yu-fa-2.m3u8$[BD]cctv12-社会与法
CCTV13,https://t.freetv.fun/live/cctv-13xin-wen.m3u8$[BD]cctv-13新闻
CCTV13,https://t.freetv.fun/live/cctv13-xin-wen-2.m3u8$[BD]cctv13-新闻
CCTV13,https://t.freetv.fun/live/cctv13-xin-wen-3.m3u8$[BD]cctv13-新闻
CCTV13,https://t.freetv.fun/live/cctv13-xin-wen-4.m3u8$[BD]cctv13-新闻
CCTV14,https://t.freetv.fun/live/cctv14-shao-er.m3u8$[BD]cctv14-少儿
CCTV15,https://t.freetv.fun/live/cctv-15yin-le-1.m3u8$[BD]cctv-15音乐
CCTV2,https://t.freetv.fun/live/cctv2-cai-jing-3.m3u8$[BD]cctv2-财经
CCTV2,https://t.freetv.fun/live/cctv2-cai-jing-4.m3u8$[BD]cctv2-财经
CCTV3,https://t.freetv.fun/live/cctv-3-1.m3u8$[BD]cctv-3
CCTV3,https://t.freetv.fun/live/cctv3-zong-yi-3.m3u8$[BD]cctv3-综艺
CCTV3,https://t.freetv.fun/live/cctv3-zong-yi-4.m3u8$[BD]cctv3-综艺
CCTV4,https://t.freetv.fun/live/cctv-4-2.m3u8$[BD]cctv-4
CCTV4,https://t.freetv.fun/live/cctv-4-zhong-wen-guo-ji-4.m3u8$[BD]cctv-4_中文国际
CCTV4,https://t.freetv.fun/live/cctv-4-zhong-wen-guo-ji-6.m3u8$[BD]cctv-4_中文国际
CCTV4,https://t.freetv.fun/live/cctv-4-zhong-wen-guo-ji-9.m3u8$[BD]cctv-4_中文国际
CCTV4,https://t.freetv.fun/live/cctv-4-zhong-wen-guo-ji.m3u8$[BD]cctv-4_中文国际
CCTV4,https://t.freetv.fun/live/cctv-4zhong-wen-guo-ji.m3u8$[BD]cctv-4中文国际
CCTV4K,https://t.freetv.fun/live/cctv4k-1.m3u8$[HD]cctv4k
CCTV5,https://t.freetv.fun/live/cctv-5-1.m3u8$[BD]cctv-5
CCTV5,https://t.freetv.fun/live/cctv5-ti-yu-3.m3u8$[BD]cctv5-体育
CCTV5,https://t.freetv.fun/live/cctv5-ti-yu-4.m3u8$[BD]cctv5-体育
CCTV6,https://t.freetv.fun/live/cctv6-dian-ying-1.m3u8$[BD]cctv6-电影
CCTV6,https://t.freetv.fun/live/cctv6-dian-ying-2.m3u8$[BD]cctv6-电影
CCTV6,https://t.freetv.fun/live/cctv6-dian-ying.m3u8$[BD]cctv6-电影
CCTV7,https://t.freetv.fun/live/cctv-7-1.m3u8$[BD]cctv-7
CCTV8,https://t.freetv.fun/live/cctv-8-1.m3u8$[BD]cctv-8
CCTV8,https://t.freetv.fun/live/cctv8-dian-shi-ju-3.m3u8$[BD]cctv8-电视剧
CCTV9,https://t.freetv.fun/live/cctv-9-1.m3u8$[BD]cctv-9
now新聞,https://t.freetv.fun/live/nowxin-wen.php$[BD]now新聞
tvbs亚洲,https://t.freetv.fun/live/tvbsya-zhou-4.m3u8$[BD]tvbs亚洲
tvbs亚洲,https://t.freetv.fun/live/tvbsya-zhou-5.m3u8$[BD]tvbs亚洲
tvbs亚洲,https://t.freetv.fun/live/tvbsya-zhou-6.m3u8$[BD]tvbs亚洲
tvbs亚洲,https://t.freetv.fun/live/tvbsya-zhou-7.m3u8$[BD]tvbs亚洲
东森美洲,https://t.freetv.fun/live/dong-sen-mei-zhou-1-1.m3u8$[BD]东森美洲
东森超视,rtmp://f13h.mine.nu/sat/tv331$[HD]东森超视
东莞新闻综合,https://t.freetv.fun/live/dong-wan-xin-wen-zong-he-3.m3u8$[HD]东莞新闻综合
中天新聞,rtmp://vip.huahong.pro/live/xingjiaoge-ztxw2$[BD]中天新闻
中視新聞,https://t.freetv.fun/live/zhong-shi-xin-wen-2.m3u8$[BD]中視新聞
中视,rtmp://f13h.mine.nu/sat/tv091$[HD]中视
台視財經,https://t.freetv.fun/live/tai-shi-cai-jing-1.m3u8$[BD]台視財經
安多卫视,https://t.freetv.fun/live/an-duo-wei-shi-1.m3u8$[BD]安多卫视
家庭影院,https://t.freetv.fun/live/jia-ting-ying-yuan-1.m3u8$[BD]家庭影院
寰宇財經,https://t.freetv.fun/live/huan-yu-cai-jing-1.m3u8$[BD]寰宇財經
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-1.m3u8$[BD]广东体育高清
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-13.m3u8$[BD]广东体育高清
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-14.m3u8$[BD]广东体育高清
